# rec_pos, rec_depth, src_pos, src_depth
0.00,6.00,575.00,10.00
1.00,6.00,575.00,10.00
2.00,6.00,575.00,10.00
3.00,6.00,575.00,10.00
4.00,6.00,575.00,10.00
5.00,6.00,575.00,10.00
6.00,6.00,575.00,10.00
7.00,6.00,575.00,10.00
8.00,6.00,575.00,10.00
9.00,6.00,575.00,10.00
10.00,6.00,575.00,10.00
11.00,6.00,575.00,10.00
12.00,6.00,575.00,10.00
13.00,6.00,575.00,10.00
14.00,6.00,575.00,10.00
15.00,6.00,575.00,10.00
16.00,6.00,575.00,10.00
17.00,6.00,575.00,10.00
18.00,6.00,575.00,10.00
19.00,6.00,575.00,10.00
20.00,6.00,575.00,10.00
21.00,6.00,575.00,10.00
22.00,6.00,575.00,10.00
23.00,6.00,575.00,10.00
24.00,6.00,575.00,10.00
25.00,6.00,575.00,10.00
26.00,6.00,575.00,10.00
27.00,6.00,575.00,10.00
28.00,6.00,575.00,10.00
29.00,6.00,575.00,10.00
30.00,6.00,575.00,10.00
31.00,6.00,575.00,10.00
32.00,6.00,575.00,10.00
33.00,6.00,575.00,10.00
34.00,6.00,575.00,10.00
35.00,6.00,575.00,10.00
36.00,6.00,575.00,10.00
37.00,6.00,575.00,10.00
38.00,6.00,575.00,10.00
39.00,6.00,575.00,10.00
40.00,6.00,575.00,10.00
41.00,6.00,575.00,10.00
42.00,6.00,575.00,10.00
43.00,6.00,575.00,10.00
44.00,6.00,575.00,10.00
45.00,6.00,575.00,10.00
46.00,6.00,575.00,10.00
47.00,6.00,575.00,10.00
48.00,6.00,575.00,10.00
49.00,6.00,575.00,10.00
50.00,6.00,575.00,10.00
51.00,6.00,575.00,10.00
52.00,6.00,575.00,10.00
53.00,6.00,575.00,10.00
54.00,6.00,575.00,10.00
55.00,6.00,575.00,10.00
56.00,6.00,575.00,10.00
57.00,6.00,575.00,10.00
58.00,6.00,575.00,10.00
59.00,6.00,575.00,10.00
60.00,6.00,575.00,10.00
61.00,6.00,575.00,10.00
62.00,6.00,575.00,10.00
63.00,6.00,575.00,10.00
64.00,6.00,575.00,10.00
65.00,6.00,575.00,10.00
66.00,6.00,575.00,10.00
67.00,6.00,575.00,10.00
68.00,6.00,575.00,10.00
69.00,6.00,575.00,10.00
70.00,6.00,575.00,10.00
71.00,6.00,575.00,10.00
72.00,6.00,575.00,10.00
73.00,6.00,575.00,10.00
74.00,6.00,575.00,10.00
75.00,6.00,575.00,10.00
76.00,6.00,575.00,10.00
77.00,6.00,575.00,10.00
78.00,6.00,575.00,10.00
79.00,6.00,575.00,10.00
80.00,6.00,575.00,10.00
81.00,6.00,575.00,10.00
82.00,6.00,575.00,10.00
83.00,6.00,575.00,10.00
84.00,6.00,575.00,10.00
85.00,6.00,575.00,10.00
86.00,6.00,575.00,10.00
87.00,6.00,575.00,10.00
88.00,6.00,575.00,10.00
89.00,6.00,575.00,10.00
90.00,6.00,575.00,10.00
91.00,6.00,575.00,10.00
92.00,6.00,575.00,10.00
93.00,6.00,575.00,10.00
94.00,6.00,575.00,10.00
95.00,6.00,575.00,10.00
96.00,6.00,575.00,10.00
97.00,6.00,575.00,10.00
98.00,6.00,575.00,10.00
99.00,6.00,575.00,10.00
100.00,6.00,575.00,10.00
101.00,6.00,575.00,10.00
102.00,6.00,575.00,10.00
103.00,6.00,575.00,10.00
104.00,6.00,575.00,10.00
105.00,6.00,575.00,10.00
106.00,6.00,575.00,10.00
107.00,6.00,575.00,10.00
108.00,6.00,575.00,10.00
109.00,6.00,575.00,10.00
110.00,6.00,575.00,10.00
111.00,6.00,575.00,10.00
112.00,6.00,575.00,10.00
113.00,6.00,575.00,10.00
114.00,6.00,575.00,10.00
115.00,6.00,575.00,10.00
116.00,6.00,575.00,10.00
117.00,6.00,575.00,10.00
118.00,6.00,575.00,10.00
119.00,6.00,575.00,10.00
120.00,6.00,575.00,10.00
121.00,6.00,575.00,10.00
122.00,6.00,575.00,10.00
123.00,6.00,575.00,10.00
124.00,6.00,575.00,10.00
125.00,6.00,575.00,10.00
126.00,6.00,575.00,10.00
127.00,6.00,575.00,10.00
128.00,6.00,575.00,10.00
129.00,6.00,575.00,10.00
130.00,6.00,575.00,10.00
131.00,6.00,575.00,10.00
132.00,6.00,575.00,10.00
133.00,6.00,575.00,10.00
134.00,6.00,575.00,10.00
135.00,6.00,575.00,10.00
136.00,6.00,575.00,10.00
137.00,6.00,575.00,10.00
138.00,6.00,575.00,10.00
139.00,6.00,575.00,10.00
140.00,6.00,575.00,10.00
141.00,6.00,575.00,10.00
142.00,6.00,575.00,10.00
143.00,6.00,575.00,10.00
144.00,6.00,575.00,10.00
145.00,6.00,575.00,10.00
146.00,6.00,575.00,10.00
147.00,6.00,575.00,10.00
148.00,6.00,575.00,10.00
149.00,6.00,575.00,10.00
150.00,6.00,575.00,10.00
151.00,6.00,575.00,10.00
152.00,6.00,575.00,10.00
153.00,6.00,575.00,10.00
154.00,6.00,575.00,10.00
155.00,6.00,575.00,10.00
156.00,6.00,575.00,10.00
157.00,6.00,575.00,10.00
158.00,6.00,575.00,10.00
159.00,6.00,575.00,10.00
160.00,6.00,575.00,10.00
161.00,6.00,575.00,10.00
162.00,6.00,575.00,10.00
163.00,6.00,575.00,10.00
164.00,6.00,575.00,10.00
165.00,6.00,575.00,10.00
166.00,6.00,575.00,10.00
167.00,6.00,575.00,10.00
168.00,6.00,575.00,10.00
169.00,6.00,575.00,10.00
170.00,6.00,575.00,10.00
171.00,6.00,575.00,10.00
172.00,6.00,575.00,10.00
173.00,6.00,575.00,10.00
174.00,6.00,575.00,10.00
175.00,6.00,575.00,10.00
176.00,6.00,575.00,10.00
177.00,6.00,575.00,10.00
178.00,6.00,575.00,10.00
179.00,6.00,575.00,10.00
180.00,6.00,575.00,10.00
181.00,6.00,575.00,10.00
182.00,6.00,575.00,10.00
183.00,6.00,575.00,10.00
184.00,6.00,575.00,10.00
185.00,6.00,575.00,10.00
186.00,6.00,575.00,10.00
187.00,6.00,575.00,10.00
188.00,6.00,575.00,10.00
189.00,6.00,575.00,10.00
190.00,6.00,575.00,10.00
191.00,6.00,575.00,10.00
192.00,6.00,575.00,10.00
193.00,6.00,575.00,10.00
194.00,6.00,575.00,10.00
195.00,6.00,575.00,10.00
196.00,6.00,575.00,10.00
197.00,6.00,575.00,10.00
198.00,6.00,575.00,10.00
199.00,6.00,575.00,10.00
200.00,6.00,575.00,10.00
201.00,6.00,575.00,10.00
202.00,6.00,575.00,10.00
203.00,6.00,575.00,10.00
204.00,6.00,575.00,10.00
205.00,6.00,575.00,10.00
206.00,6.00,575.00,10.00
207.00,6.00,575.00,10.00
208.00,6.00,575.00,10.00
209.00,6.00,575.00,10.00
210.00,6.00,575.00,10.00
211.00,6.00,575.00,10.00
212.00,6.00,575.00,10.00
213.00,6.00,575.00,10.00
214.00,6.00,575.00,10.00
215.00,6.00,575.00,10.00
216.00,6.00,575.00,10.00
217.00,6.00,575.00,10.00
218.00,6.00,575.00,10.00
219.00,6.00,575.00,10.00
220.00,6.00,575.00,10.00
221.00,6.00,575.00,10.00
222.00,6.00,575.00,10.00
223.00,6.00,575.00,10.00
224.00,6.00,575.00,10.00
225.00,6.00,575.00,10.00
226.00,6.00,575.00,10.00
227.00,6.00,575.00,10.00
228.00,6.00,575.00,10.00
229.00,6.00,575.00,10.00
230.00,6.00,575.00,10.00
231.00,6.00,575.00,10.00
232.00,6.00,575.00,10.00
233.00,6.00,575.00,10.00
234.00,6.00,575.00,10.00
235.00,6.00,575.00,10.00
236.00,6.00,575.00,10.00
237.00,6.00,575.00,10.00
238.00,6.00,575.00,10.00
239.00,6.00,575.00,10.00
240.00,6.00,575.00,10.00
241.00,6.00,575.00,10.00
242.00,6.00,575.00,10.00
243.00,6.00,575.00,10.00
244.00,6.00,575.00,10.00
245.00,6.00,575.00,10.00
246.00,6.00,575.00,10.00
247.00,6.00,575.00,10.00
248.00,6.00,575.00,10.00
249.00,6.00,575.00,10.00
250.00,6.00,575.00,10.00
251.00,6.00,575.00,10.00
252.00,6.00,575.00,10.00
253.00,6.00,575.00,10.00
254.00,6.00,575.00,10.00
255.00,6.00,575.00,10.00
256.00,6.00,575.00,10.00
257.00,6.00,575.00,10.00
258.00,6.00,575.00,10.00
259.00,6.00,575.00,10.00
260.00,6.00,575.00,10.00
261.00,6.00,575.00,10.00
262.00,6.00,575.00,10.00
263.00,6.00,575.00,10.00
264.00,6.00,575.00,10.00
265.00,6.00,575.00,10.00
266.00,6.00,575.00,10.00
267.00,6.00,575.00,10.00
268.00,6.00,575.00,10.00
269.00,6.00,575.00,10.00
270.00,6.00,575.00,10.00
271.00,6.00,575.00,10.00
272.00,6.00,575.00,10.00
273.00,6.00,575.00,10.00
274.00,6.00,575.00,10.00
275.00,6.00,575.00,10.00
276.00,6.00,575.00,10.00
277.00,6.00,575.00,10.00
278.00,6.00,575.00,10.00
279.00,6.00,575.00,10.00
280.00,6.00,575.00,10.00
281.00,6.00,575.00,10.00
282.00,6.00,575.00,10.00
283.00,6.00,575.00,10.00
284.00,6.00,575.00,10.00
285.00,6.00,575.00,10.00
286.00,6.00,575.00,10.00
287.00,6.00,575.00,10.00
288.00,6.00,575.00,10.00
289.00,6.00,575.00,10.00
290.00,6.00,575.00,10.00
291.00,6.00,575.00,10.00
292.00,6.00,575.00,10.00
293.00,6.00,575.00,10.00
294.00,6.00,575.00,10.00
295.00,6.00,575.00,10.00
296.00,6.00,575.00,10.00
297.00,6.00,575.00,10.00
298.00,6.00,575.00,10.00
299.00,6.00,575.00,10.00
300.00,6.00,575.00,10.00
301.00,6.00,575.00,10.00
302.00,6.00,575.00,10.00
303.00,6.00,575.00,10.00
304.00,6.00,575.00,10.00
305.00,6.00,575.00,10.00
306.00,6.00,575.00,10.00
307.00,6.00,575.00,10.00
308.00,6.00,575.00,10.00
309.00,6.00,575.00,10.00
310.00,6.00,575.00,10.00
311.00,6.00,575.00,10.00
312.00,6.00,575.00,10.00
313.00,6.00,575.00,10.00
314.00,6.00,575.00,10.00
315.00,6.00,575.00,10.00
316.00,6.00,575.00,10.00
317.00,6.00,575.00,10.00
318.00,6.00,575.00,10.00
319.00,6.00,575.00,10.00
320.00,6.00,575.00,10.00
321.00,6.00,575.00,10.00
322.00,6.00,575.00,10.00
323.00,6.00,575.00,10.00
324.00,6.00,575.00,10.00
325.00,6.00,575.00,10.00
326.00,6.00,575.00,10.00
327.00,6.00,575.00,10.00
328.00,6.00,575.00,10.00
329.00,6.00,575.00,10.00
330.00,6.00,575.00,10.00
331.00,6.00,575.00,10.00
332.00,6.00,575.00,10.00
333.00,6.00,575.00,10.00
334.00,6.00,575.00,10.00
335.00,6.00,575.00,10.00
336.00,6.00,575.00,10.00
337.00,6.00,575.00,10.00
338.00,6.00,575.00,10.00
339.00,6.00,575.00,10.00
340.00,6.00,575.00,10.00
341.00,6.00,575.00,10.00
342.00,6.00,575.00,10.00
343.00,6.00,575.00,10.00
344.00,6.00,575.00,10.00
345.00,6.00,575.00,10.00
346.00,6.00,575.00,10.00
347.00,6.00,575.00,10.00
348.00,6.00,575.00,10.00
349.00,6.00,575.00,10.00
350.00,6.00,575.00,10.00
351.00,6.00,575.00,10.00
352.00,6.00,575.00,10.00
353.00,6.00,575.00,10.00
354.00,6.00,575.00,10.00
355.00,6.00,575.00,10.00
356.00,6.00,575.00,10.00
357.00,6.00,575.00,10.00
358.00,6.00,575.00,10.00
359.00,6.00,575.00,10.00
360.00,6.00,575.00,10.00
361.00,6.00,575.00,10.00
362.00,6.00,575.00,10.00
363.00,6.00,575.00,10.00
364.00,6.00,575.00,10.00
365.00,6.00,575.00,10.00
366.00,6.00,575.00,10.00
367.00,6.00,575.00,10.00
368.00,6.00,575.00,10.00
369.00,6.00,575.00,10.00
370.00,6.00,575.00,10.00
371.00,6.00,575.00,10.00
372.00,6.00,575.00,10.00
373.00,6.00,575.00,10.00
374.00,6.00,575.00,10.00
375.00,6.00,575.00,10.00
376.00,6.00,575.00,10.00
377.00,6.00,575.00,10.00
378.00,6.00,575.00,10.00
379.00,6.00,575.00,10.00
380.00,6.00,575.00,10.00
381.00,6.00,575.00,10.00
382.00,6.00,575.00,10.00
383.00,6.00,575.00,10.00
